,year,category,winner,entity,award
59,1973,BEST PICTURE,False,A Touch of Class,academy_award
60,1974,BEST PICTURE,False,Chinatown,academy_award
61,1974,BEST PICTURE,False,The Conversation,academy_award
62,1974,BEST PICTURE,True,The Godfather Part II,academy_award
63,1974,BEST PICTURE,False,Lenny,academy_award
64,1974,BEST PICTURE,False,The Towering Inferno,academy_award
65,1975,BEST PICTURE,False,Barry Lyndon,academy_award
66,1975,BEST PICTURE,False,Dog Day Afternoon,academy_award
67,1975,BEST PICTURE,False,Jaws,academy_award
68,1975,BEST PICTURE,False,Nashville,academy_award
69,1975,BEST PICTURE,True,One Flew over the Cuckoo's Nest,academy_award
70,1976,BEST PICTURE,False,All the President's Men,academy_award
71,1976,BEST PICTURE,False,Bound for Glory,academy_award
72,1976,BEST PICTURE,False,Network,academy_award
73,1976,BEST PICTURE,True,Rocky,academy_award
74,1976,BEST PICTURE,False,Taxi Driver,academy_award
75,1977,BEST PICTURE,True,Annie Hall,academy_award
76,1977,BEST PICTURE,False,The Goodbye Girl,academy_award
77,1977,BEST PICTURE,False,Julia,academy_award
78,1977,BEST PICTURE,False,Star Wars,academy_award
79,1977,BEST PICTURE,False,The Turning Point,academy_award
80,1978,BEST PICTURE,False,Coming Home,academy_award
81,1978,BEST PICTURE,True,The Deer Hunter,academy_award
82,1978,BEST PICTURE,False,Heaven Can Wait,academy_award
83,1978,BEST PICTURE,False,Midnight Express,academy_award
84,1978,BEST PICTURE,False,An Unmarried Woman,academy_award
85,1979,BEST PICTURE,False,All That Jazz,academy_award
86,1979,BEST PICTURE,False,Apocalypse Now,academy_award
87,1979,BEST PICTURE,False,Breaking Away,academy_award
88,1979,BEST PICTURE,True,Kramer vs. Kramer,academy_award
89,1979,BEST PICTURE,False,Norma Rae,academy_award
90,1980,BEST PICTURE,False,Coal Miner's Daughter,academy_award
91,1980,BEST PICTURE,False,The Elephant Man,academy_award
92,1980,BEST PICTURE,True,Ordinary People,academy_award
93,1980,BEST PICTURE,False,Raging Bull,academy_award
94,1980,BEST PICTURE,False,Tess,academy_award
95,1981,BEST PICTURE,False,Atlantic City,academy_award
96,1981,BEST PICTURE,True,Chariots of Fire,academy_award
97,1981,BEST PICTURE,False,On Golden Pond,academy_award
98,1981,BEST PICTURE,False,Raiders of the Lost Ark,academy_award
99,1981,BEST PICTURE,False,Reds,academy_award
100,1982,BEST PICTURE,False,E.T. The Extra-Terrestrial,academy_award
101,1982,BEST PICTURE,True,Gandhi,academy_award
102,1982,BEST PICTURE,False,Missing,academy_award
103,1982,BEST PICTURE,False,Tootsie,academy_award
104,1982,BEST PICTURE,False,The Verdict,academy_award
105,1983,BEST PICTURE,False,The Big Chill,academy_award
106,1983,BEST PICTURE,False,The Dresser,academy_award
107,1983,BEST PICTURE,False,The Right Stuff,academy_award
108,1983,BEST PICTURE,False,Tender Mercies,academy_award
109,1983,BEST PICTURE,True,Terms of Endearment,academy_award
110,1984,BEST PICTURE,True,Amadeus,academy_award
111,1984,BEST PICTURE,False,The Killing Fields,academy_award
112,1984,BEST PICTURE,False,A Passage to India,academy_award
113,1984,BEST PICTURE,False,Places in the Heart,academy_award
114,1984,BEST PICTURE,False,A Soldier's Story,academy_award
115,1985,BEST PICTURE,False,The Color Purple,academy_award
116,1985,BEST PICTURE,False,Kiss of the Spider Woman,academy_award
117,1985,BEST PICTURE,True,Out of Africa,academy_award
118,1985,BEST PICTURE,False,Prizzi's Honor,academy_award
119,1985,BEST PICTURE,False,Witness,academy_award
120,1986,BEST PICTURE,False,Children of a Lesser God,academy_award
121,1986,BEST PICTURE,False,Hannah and Her Sisters,academy_award
122,1986,BEST PICTURE,False,The Mission,academy_award
123,1986,BEST PICTURE,True,Platoon,academy_award
124,1986,BEST PICTURE,False,A Room with a View,academy_award
125,1987,BEST PICTURE,False,Broadcast News,academy_award
126,1987,BEST PICTURE,False,Fatal Attraction,academy_award
127,1987,BEST PICTURE,False,Hope and Glory,academy_award
128,1987,BEST PICTURE,True,The Last Emperor,academy_award
129,1987,BEST PICTURE,False,Moonstruck,academy_award
130,1988,BEST PICTURE,False,The Accidental Tourist,academy_award
131,1988,BEST PICTURE,False,Dangerous Liaisons,academy_award
132,1988,BEST PICTURE,False,Mississippi Burning,academy_award
133,1988,BEST PICTURE,True,Rain Man,academy_award
134,1988,BEST PICTURE,False,Working Girl,academy_award
135,1989,BEST PICTURE,False,Born on the Fourth of July,academy_award
136,1989,BEST PICTURE,False,Dead Poets Society,academy_award
137,1989,BEST PICTURE,True,Driving Miss Daisy,academy_award
138,1989,BEST PICTURE,False,Field of Dreams,academy_award
139,1989,BEST PICTURE,False,My Left Foot,academy_award
140,1990,BEST PICTURE,False,Awakenings,academy_award
141,1990,BEST PICTURE,True,Dances With Wolves,academy_award
142,1990,BEST PICTURE,False,Ghost,academy_award
143,1990,BEST PICTURE,False,"The Godfather, Part III",academy_award
144,1990,BEST PICTURE,False,Good Fellas,academy_award
145,1991,BEST PICTURE,False,Beauty and the Beast,academy_award
146,1991,BEST PICTURE,False,Bugsy,academy_award
147,1991,BEST PICTURE,False,JFK,academy_award
148,1991,BEST PICTURE,False,The Prince of Tides,academy_award
149,1991,BEST PICTURE,True,The Silence of the Lambs,academy_award
150,1992,BEST PICTURE,False,The Crying Game,academy_award
151,1992,BEST PICTURE,False,A Few Good Men,academy_award
152,1992,BEST PICTURE,False,Howards End,academy_award
153,1992,BEST PICTURE,False,Scent of a Woman,academy_award
154,1992,BEST PICTURE,True,Unforgiven,academy_award
155,1993,BEST PICTURE,False,The Fugitive,academy_award
156,1993,BEST PICTURE,False,In the Name of the Father,academy_award
157,1993,BEST PICTURE,False,The Piano,academy_award
158,1993,BEST PICTURE,False,The Remains of the Day,academy_award
159,1993,BEST PICTURE,True,Schindler's List,academy_award
160,1994,BEST PICTURE,True,Forrest Gump,academy_award
161,1994,BEST PICTURE,False,Four Weddings and a Funeral,academy_award
162,1994,BEST PICTURE,False,Pulp Fiction,academy_award
163,1994,BEST PICTURE,False,Quiz Show,academy_award
164,1994,BEST PICTURE,False,The Shawshank Redemption,academy_award
165,1995,BEST PICTURE,False,Apollo 13,academy_award
166,1995,BEST PICTURE,False,Babe,academy_award
167,1995,BEST PICTURE,True,Braveheart,academy_award
168,1995,BEST PICTURE,False,The Postman (Il Postino),academy_award
169,1995,BEST PICTURE,False,Sense and Sensibility,academy_award
170,1996,BEST PICTURE,True,The English Patient,academy_award
171,1996,BEST PICTURE,False,Fargo,academy_award
172,1996,BEST PICTURE,False,Jerry Maguire,academy_award
173,1996,BEST PICTURE,False,Secrets & Lies,academy_award
174,1996,BEST PICTURE,False,Shine,academy_award
175,1997,BEST PICTURE,False,As Good as It Gets,academy_award
176,1997,BEST PICTURE,False,The Full Monty,academy_award
177,1997,BEST PICTURE,False,Good Will Hunting,academy_award
178,1997,BEST PICTURE,False,L.A. Confidential,academy_award
179,1997,BEST PICTURE,True,Titanic,academy_award
180,1998,BEST PICTURE,False,Elizabeth,academy_award
181,1998,BEST PICTURE,False,Life Is Beautiful,academy_award
182,1998,BEST PICTURE,False,Saving Private Ryan,academy_award
183,1998,BEST PICTURE,True,Shakespeare in Love,academy_award
184,1998,BEST PICTURE,False,The Thin Red Line,academy_award
185,1999,BEST PICTURE,True,American Beauty,academy_award
186,1999,BEST PICTURE,False,The Cider House Rules,academy_award
187,1999,BEST PICTURE,False,The Green Mile,academy_award
188,1999,BEST PICTURE,False,The Insider,academy_award
189,1999,BEST PICTURE,False,The Sixth Sense,academy_award
190,2000,BEST PICTURE,False,Chocolat,academy_award
191,2000,BEST PICTURE,False,"Crouching Tiger, Hidden Dragon",academy_award
192,2000,BEST PICTURE,False,Erin Brockovich,academy_award
193,2000,BEST PICTURE,True,Gladiator,academy_award
194,2000,BEST PICTURE,False,Traffic,academy_award
195,2001,BEST PICTURE,True,A Beautiful Mind,academy_award
196,2001,BEST PICTURE,False,Gosford Park,academy_award
197,2001,BEST PICTURE,False,In the Bedroom,academy_award
198,2001,BEST PICTURE,False,The Lord of the Rings: The Fellowship of the Ring,academy_award
199,2001,BEST PICTURE,False,Moulin Rouge,academy_award
200,2002,BEST PICTURE,True,Chicago,academy_award
201,2002,BEST PICTURE,False,Gangs of New York,academy_award
202,2002,BEST PICTURE,False,The Hours,academy_award
203,2002,BEST PICTURE,False,The Lord of the Rings: The Two Towers,academy_award
204,2002,BEST PICTURE,False,The Pianist,academy_award
205,2003,BEST PICTURE,True,The Lord of the Rings: The Return of the King,academy_award
206,2003,BEST PICTURE,False,Lost in Translation,academy_award
207,2003,BEST PICTURE,False,Master and Commander: The Far Side of the World,academy_award
208,2003,BEST PICTURE,False,Mystic River,academy_award
209,2003,BEST PICTURE,False,Seabiscuit,academy_award
210,2004,BEST PICTURE,False,The Aviator,academy_award
211,2004,BEST PICTURE,False,Finding Neverland,academy_award
212,2004,BEST PICTURE,True,Million Dollar Baby,academy_award
213,2004,BEST PICTURE,False,Ray,academy_award
214,2004,BEST PICTURE,False,Sideways,academy_award
215,2005,BEST PICTURE,False,Brokeback Mountain,academy_award
216,2005,BEST PICTURE,False,Capote,academy_award
217,2005,BEST PICTURE,True,Crash,academy_award
218,2005,BEST PICTURE,False,"Good Night, and Good Luck.",academy_award
219,2005,BEST PICTURE,False,Munich,academy_award
220,2006,BEST PICTURE,False,Babel,academy_award
221,2006,BEST PICTURE,True,The Departed,academy_award
222,2006,BEST PICTURE,False,Letters from Iwo Jima,academy_award
223,2006,BEST PICTURE,False,Little Miss Sunshine,academy_award
224,2006,BEST PICTURE,False,The Queen,academy_award
225,2007,BEST PICTURE,False,Atonement,academy_award
226,2007,BEST PICTURE,False,Juno,academy_award
227,2007,BEST PICTURE,False,Michael Clayton,academy_award
228,2007,BEST PICTURE,True,No Country for Old Men,academy_award
229,2007,BEST PICTURE,False,There Will Be Blood,academy_award
230,2008,BEST PICTURE,False,The Curious Case of Benjamin Button,academy_award
231,2008,BEST PICTURE,False,Frost/Nixon,academy_award
232,2008,BEST PICTURE,False,Milk,academy_award
233,2008,BEST PICTURE,False,The Reader,academy_award
234,2008,BEST PICTURE,True,Slumdog Millionaire,academy_award
235,2009,BEST PICTURE,False,Avatar,academy_award
236,2009,BEST PICTURE,False,The Blind Side,academy_award
237,2009,BEST PICTURE,False,District 9,academy_award
238,2009,BEST PICTURE,False,An Education,academy_award
239,2009,BEST PICTURE,True,The Hurt Locker,academy_award
240,2009,BEST PICTURE,False,Inglourious Basterds,academy_award
241,2009,BEST PICTURE,False,Precious: Based on the Novel 'Push' by Sapphire,academy_award
242,2009,BEST PICTURE,False,A Serious Man,academy_award
243,2009,BEST PICTURE,False,Up,academy_award
244,2009,BEST PICTURE,False,Up in the Air,academy_award
245,2010,BEST PICTURE,False,Black Swan,academy_award
246,2010,BEST PICTURE,False,The Fighter,academy_award
247,2010,BEST PICTURE,False,Inception,academy_award
248,2010,BEST PICTURE,False,The Kids Are All Right,academy_award
249,2010,BEST PICTURE,True,The King's Speech,academy_award
250,2010,BEST PICTURE,False,127 Hours,academy_award
251,2010,BEST PICTURE,False,The Social Network,academy_award
252,2010,BEST PICTURE,False,Toy Story 3,academy_award
253,2010,BEST PICTURE,False,True Grit,academy_award
254,2010,BEST PICTURE,False,Winter's Bone,academy_award
255,2011,BEST PICTURE,True,The Artist,academy_award
256,2011,BEST PICTURE,False,The Descendants,academy_award
257,2011,BEST PICTURE,False,Extremely Loud & Incredibly Close,academy_award
258,2011,BEST PICTURE,False,The Help,academy_award
259,2011,BEST PICTURE,False,Hugo,academy_award
260,2011,BEST PICTURE,False,Midnight in Paris,academy_award
261,2011,BEST PICTURE,False,Moneyball,academy_award
262,2011,BEST PICTURE,False,The Tree of Life,academy_award
263,2011,BEST PICTURE,False,War Horse,academy_award
264,2012,BEST PICTURE,False,Amour,academy_award
265,2012,BEST PICTURE,True,Argo,academy_award
266,2012,BEST PICTURE,False,Beasts of the Southern Wild,academy_award
267,2012,BEST PICTURE,False,Django Unchained,academy_award
268,2012,BEST PICTURE,False,Les Misérables,academy_award
269,2012,BEST PICTURE,False,Life of Pi,academy_award
270,2012,BEST PICTURE,False,Lincoln,academy_award
271,2012,BEST PICTURE,False,Silver Linings Playbook,academy_award
272,2012,BEST PICTURE,False,Zero Dark Thirty,academy_award
273,2013,BEST PICTURE,False,American Hustle,academy_award
274,2013,BEST PICTURE,False,Captain Phillips,academy_award
275,2013,BEST PICTURE,False,Dallas Buyers Club,academy_award
276,2013,BEST PICTURE,False,Gravity,academy_award
277,2013,BEST PICTURE,False,Her,academy_award
278,2013,BEST PICTURE,False,Nebraska,academy_award
279,2013,BEST PICTURE,False,Philomena,academy_award
280,2013,BEST PICTURE,True,12 Years a Slave,academy_award
281,2013,BEST PICTURE,False,The Wolf of Wall Street,academy_award
282,2014,BEST PICTURE,False,American Sniper,academy_award
283,2014,BEST PICTURE,True,Birdman or (The Unexpected Virtue of Ignorance),academy_award
284,2014,BEST PICTURE,False,Boyhood,academy_award
285,2014,BEST PICTURE,False,The Grand Budapest Hotel,academy_award
286,2014,BEST PICTURE,False,The Imitation Game,academy_award
287,2014,BEST PICTURE,False,Selma,academy_award
288,2014,BEST PICTURE,False,The Theory of Everything,academy_award
289,2014,BEST PICTURE,False,Whiplash,academy_award
290,2015,BEST PICTURE,False,The Big Short,academy_award
291,2015,BEST PICTURE,False,Bridge of Spies,academy_award
292,2015,BEST PICTURE,False,Brooklyn,academy_award
293,2015,BEST PICTURE,False,Mad Max: Fury Road,academy_award
294,2015,BEST PICTURE,False,The Martian,academy_award
295,2015,BEST PICTURE,False,The Revenant,academy_award
296,2015,BEST PICTURE,False,Room,academy_award
297,2015,BEST PICTURE,True,Spotlight,academy_award
298,2016,BEST PICTURE,False,Arrival,academy_award
299,2016,BEST PICTURE,False,Fences,academy_award
300,2016,BEST PICTURE,False,Hacksaw Ridge,academy_award
301,2016,BEST PICTURE,False,Hell or High Water,academy_award
302,2016,BEST PICTURE,False,Hidden Figures,academy_award
303,2016,BEST PICTURE,False,La La Land,academy_award
304,2016,BEST PICTURE,False,Lion,academy_award
305,2016,BEST PICTURE,False,Manchester by the Sea,academy_award
306,2016,BEST PICTURE,True,Moonlight,academy_award
307,2017,BEST PICTURE,False,Call Me by Your Name,academy_award
308,2017,BEST PICTURE,False,Darkest Hour,academy_award
309,2017,BEST PICTURE,False,Dunkirk,academy_award
310,2017,BEST PICTURE,False,Get Out,academy_award
311,2017,BEST PICTURE,False,Lady Bird,academy_award
312,2017,BEST PICTURE,False,Phantom Thread,academy_award
313,2017,BEST PICTURE,False,The Post,academy_award
314,2017,BEST PICTURE,True,The Shape of Water,academy_award
315,2017,BEST PICTURE,False,"Three Billboards Outside Ebbing, Missouri",academy_award
316,1927,ACTOR,False,Richard Barthelmess,academy_award
317,1927,ACTOR,True,Emil Jannings,academy_award
318,1928,ACTOR,False,George Bancroft,academy_award
319,1928,ACTOR,True,Warner Baxter,academy_award
320,1928,ACTOR,False,Chester Morris,academy_award
321,1928,ACTOR,False,Paul Muni,academy_award
322,1928,ACTOR,False,Lewis Stone,academy_award
323,1929,ACTOR,True,George Arliss,academy_award
324,1929,ACTOR,False,George Arliss,academy_award
325,1929,ACTOR,False,Wallace Beery,academy_award
326,1929,ACTOR,False,Maurice Chevalier,academy_award
327,1929,ACTOR,False,Ronald Colman,academy_award
328,1929,ACTOR,False,Lawrence Tibbett,academy_award
329,1930,ACTOR,True,Lionel Barrymore,academy_award
330,1930,ACTOR,False,Jackie Cooper,academy_award
331,1930,ACTOR,False,Richard Dix,academy_award
332,1930,ACTOR,False,Fredric March,academy_award
333,1930,ACTOR,False,Adolphe Menjou,academy_award
334,1931,ACTOR,True,Wallace Beery,academy_award
335,1931,ACTOR,False,Alfred Lunt,academy_award
336,1931,ACTOR,True,Fredric March,academy_award
337,1932,ACTOR,False,Leslie Howard,academy_award
338,1932,ACTOR,True,Charles Laughton,academy_award
339,1932,ACTOR,False,Paul Muni,academy_award
340,1934,ACTOR,True,Clark Gable,academy_award
341,1934,ACTOR,False,Frank Morgan,academy_award
342,1934,ACTOR,False,William Powell,academy_award
343,1935,ACTOR,False,Clark Gable,academy_award
344,1935,ACTOR,False,Charles Laughton,academy_award
345,1935,ACTOR,True,Victor McLaglen,academy_award
346,1935,ACTOR,False,Paul Muni,academy_award
347,1935,ACTOR,False,Franchot Tone,academy_award
348,1936,ACTOR,False,Gary Cooper,academy_award
349,1936,ACTOR,False,Walter Huston,academy_award
350,1936,ACTOR,True,Paul Muni,academy_award
351,1936,ACTOR,False,William Powell,academy_award
352,1936,ACTOR,False,Spencer Tracy,academy_award
353,1937,ACTOR,False,Charles Boyer,academy_award
354,1937,ACTOR,False,Fredric March,academy_award
355,1937,ACTOR,False,Robert Montgomery,academy_award
356,1937,ACTOR,False,Paul Muni,academy_award
357,1937,ACTOR,True,Spencer Tracy,academy_award
358,1938,ACTOR,False,Charles Boyer,academy_award
359,1938,ACTOR,False,James Cagney,academy_award
360,1938,ACTOR,False,Robert Donat,academy_award
361,1938,ACTOR,False,Leslie Howard,academy_award
362,1938,ACTOR,True,Spencer Tracy,academy_award
363,1939,ACTOR,True,Robert Donat,academy_award
364,1939,ACTOR,False,Clark Gable,academy_award
365,1939,ACTOR,False,Laurence Olivier,academy_award
366,1939,ACTOR,False,Mickey Rooney,academy_award
367,1939,ACTOR,False,James Stewart,academy_award
368,1940,ACTOR,False,Charles Chaplin,academy_award
369,1940,ACTOR,False,Henry Fonda,academy_award
370,1940,ACTOR,False,Raymond Massey,academy_award
371,1940,ACTOR,False,Laurence Olivier,academy_award
372,1940,ACTOR,True,James Stewart,academy_award
373,1941,ACTOR,True,Gary Cooper,academy_award
374,1941,ACTOR,False,Cary Grant,academy_award
375,1941,ACTOR,False,Walter Huston,academy_award
376,1941,ACTOR,False,Robert Montgomery,academy_award
377,1941,ACTOR,False,Orson Welles,academy_award
378,1942,ACTOR,True,James Cagney,academy_award
379,1942,ACTOR,False,Ronald Colman,academy_award
380,1942,ACTOR,False,Gary Cooper,academy_award
381,1942,ACTOR,False,Walter Pidgeon,academy_award
382,1942,ACTOR,False,Monty Woolley,academy_award
383,1943,ACTOR,False,Humphrey Bogart,academy_award
384,1943,ACTOR,False,Gary Cooper,academy_award
385,1943,ACTOR,True,Paul Lukas,academy_award
386,1943,ACTOR,False,Walter Pidgeon,academy_award
387,1943,ACTOR,False,Mickey Rooney,academy_award
388,1944,ACTOR,False,Charles Boyer,academy_award
389,1944,ACTOR,True,Bing Crosby,academy_award
390,1944,ACTOR,False,Barry Fitzgerald,academy_award
391,1944,ACTOR,False,Cary Grant,academy_award
392,1944,ACTOR,False,Alexander Knox,academy_award
393,1945,ACTOR,False,Bing Crosby,academy_award
394,1945,ACTOR,False,Gene Kelly,academy_award
395,1945,ACTOR,True,Ray Milland,academy_award
396,1945,ACTOR,False,Gregory Peck,academy_award
397,1945,ACTOR,False,Cornel Wilde,academy_award
398,1946,ACTOR,True,Fredric March,academy_award
399,1946,ACTOR,False,Laurence Olivier,academy_award
400,1946,ACTOR,False,Larry Parks,academy_award
401,1946,ACTOR,False,Gregory Peck,academy_award
402,1946,ACTOR,False,James Stewart,academy_award
403,1947,ACTOR,True,Ronald Colman,academy_award
404,1947,ACTOR,False,John Garfield,academy_award
405,1947,ACTOR,False,Gregory Peck,academy_award
406,1947,ACTOR,False,William Powell,academy_award
407,1947,ACTOR,False,Michael Redgrave,academy_award
408,1948,ACTOR,False,Lew Ayres,academy_award
409,1948,ACTOR,False,Montgomery Clift,academy_award
410,1948,ACTOR,False,Dan Dailey,academy_award
411,1948,ACTOR,True,Laurence Olivier,academy_award
412,1948,ACTOR,False,Clifton Webb,academy_award
413,1949,ACTOR,True,Broderick Crawford,academy_award
414,1949,ACTOR,False,Kirk Douglas,academy_award
415,1949,ACTOR,False,Gregory Peck,academy_award
416,1949,ACTOR,False,Richard Todd,academy_award
417,1949,ACTOR,False,John Wayne,academy_award
418,1950,ACTOR,False,Louis Calhern,academy_award
419,1950,ACTOR,True,José Ferrer,academy_award
420,1950,ACTOR,False,William Holden,academy_award
421,1950,ACTOR,False,James Stewart,academy_award
422,1950,ACTOR,False,Spencer Tracy,academy_award
423,1951,ACTOR,True,Humphrey Bogart,academy_award
424,1951,ACTOR,False,Marlon Brando,academy_award
425,1951,ACTOR,False,Montgomery Clift,academy_award
426,1951,ACTOR,False,Arthur Kennedy,academy_award
427,1951,ACTOR,False,Fredric March,academy_award
428,1952,ACTOR,False,Marlon Brando,academy_award
429,1952,ACTOR,True,Gary Cooper,academy_award
430,1952,ACTOR,False,Kirk Douglas,academy_award
431,1952,ACTOR,False,José Ferrer,academy_award
432,1952,ACTOR,False,Alec Guinness,academy_award
433,1953,ACTOR,False,Marlon Brando,academy_award
434,1953,ACTOR,False,Richard Burton,academy_award
435,1953,ACTOR,False,Montgomery Clift,academy_award
436,1953,ACTOR,True,William Holden,academy_award
437,1953,ACTOR,False,Burt Lancaster,academy_award
438,1954,ACTOR,False,Humphrey Bogart,academy_award
439,1954,ACTOR,True,Marlon Brando,academy_award
440,1954,ACTOR,False,Bing Crosby,academy_award
441,1954,ACTOR,False,James Mason,academy_award
442,1954,ACTOR,False,Dan O'Herlihy,academy_award
443,1955,ACTOR,True,Ernest Borgnine,academy_award
444,1955,ACTOR,False,James Cagney,academy_award
445,1955,ACTOR,False,James Dean,academy_award
446,1955,ACTOR,False,Frank Sinatra,academy_award
447,1955,ACTOR,False,Spencer Tracy,academy_award
448,1956,ACTOR,True,Yul Brynner,academy_award
449,1956,ACTOR,False,James Dean,academy_award
450,1956,ACTOR,False,Kirk Douglas,academy_award
451,1956,ACTOR,False,Rock Hudson,academy_award
452,1956,ACTOR,False,Sir Laurence Olivier,academy_award
453,1957,ACTOR,False,Marlon Brando,academy_award
454,1957,ACTOR,False,Anthony Franciosa,academy_award
455,1957,ACTOR,True,Alec Guinness,academy_award
456,1957,ACTOR,False,Charles Laughton,academy_award
457,1957,ACTOR,False,Anthony Quinn,academy_award
458,1958,ACTOR,False,Tony Curtis,academy_award
459,1958,ACTOR,False,Paul Newman,academy_award
460,1958,ACTOR,True,David Niven,academy_award
461,1958,ACTOR,False,Sidney Poitier,academy_award
462,1958,ACTOR,False,Spencer Tracy,academy_award
463,1959,ACTOR,False,Laurence Harvey,academy_award
464,1959,ACTOR,True,Charlton Heston,academy_award
465,1959,ACTOR,False,Jack Lemmon,academy_award
466,1959,ACTOR,False,Paul Muni,academy_award
467,1959,ACTOR,False,James Stewart,academy_award
468,1960,ACTOR,False,Trevor Howard,academy_award
469,1960,ACTOR,True,Burt Lancaster,academy_award
470,1960,ACTOR,False,Jack Lemmon,academy_award
471,1960,ACTOR,False,Laurence Olivier,academy_award
472,1960,ACTOR,False,Spencer Tracy,academy_award
473,1961,ACTOR,False,Charles Boyer,academy_award
474,1961,ACTOR,False,Paul Newman,academy_award
475,1961,ACTOR,True,Maximilian Schell,academy_award
476,1961,ACTOR,False,Spencer Tracy,academy_award
477,1961,ACTOR,False,Stuart Whitman,academy_award
478,1962,ACTOR,False,Burt Lancaster,academy_award
479,1962,ACTOR,False,Jack Lemmon,academy_award
480,1962,ACTOR,False,Marcello Mastroianni,academy_award
481,1962,ACTOR,False,Peter O'Toole,academy_award
482,1962,ACTOR,True,Gregory Peck,academy_award
483,1963,ACTOR,False,Albert Finney,academy_award
484,1963,ACTOR,False,Richard Harris,academy_award
485,1963,ACTOR,False,Rex Harrison,academy_award
486,1963,ACTOR,False,Paul Newman,academy_award
487,1963,ACTOR,True,Sidney Poitier,academy_award
488,1964,ACTOR,False,Richard Burton,academy_award
489,1964,ACTOR,True,Rex Harrison,academy_award
490,1964,ACTOR,False,Peter O'Toole,academy_award
491,1964,ACTOR,False,Anthony Quinn,academy_award
492,1964,ACTOR,False,Peter Sellers,academy_award
493,1965,ACTOR,False,Richard Burton,academy_award
494,1965,ACTOR,True,Lee Marvin,academy_award
495,1965,ACTOR,False,Laurence Olivier,academy_award
496,1965,ACTOR,False,Rod Steiger,academy_award
497,1965,ACTOR,False,Oskar Werner,academy_award
498,1966,ACTOR,False,Alan Arkin,academy_award
